,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5453,0.257,0.958,2,-2.946,1,0.157,0.000945,0.439,0.762,0.401,165.352,245000,4
5454,0.163,0.858,0,-9.208,1,0.119,0.479,0.0154,0.992,0.395,72.811,162800,3
5455,0.591,0.504,6,-8.279,1,0.0282,0.00473,0.0,0.0916,0.193,104.97,221175,4
5456,0.801,0.734,0,-9.783,1,0.0472,0.0511,0.663,0.117,0.658,120.011,329280,4
5457,0.601,0.75,2,-6.626,0,0.032,0.00512,0.00789,0.336,0.736,94.004,230853,4
5458,0.602,0.858,9,-6.754,1,0.0478,0.000235,0.000314,0.0398,0.283,99.981,266467,4
5459,0.205,0.82,5,-8.695,1,0.0587,0.0152,0.848,0.977,0.281,154.734,828840,4
5460,0.483,0.953,2,-4.499,1,0.096,0.0018,0.0,0.699,0.361,103.642,178653,4
5461,0.197,0.953,0,-2.091,1,0.114,0.00128,0.006,0.962,0.251,67.934,178867,4
5462,0.428,0.961,3,-5.546,0,0.0668,0.00131,4.66e-05,0.352,0.177,97.986,228613,4
5463,0.219,0.8,3,-6.862,1,0.065,0.228,0.000106,0.972,0.283,147.883,378173,4
5464,0.463,0.572,9,-4.74,1,0.0802,0.00537,6.1e-06,0.315,0.595,126.093,293493,4
5465,0.469,0.345,7,-8.677,1,0.0307,0.614,0.0038,0.11,0.251,116.303,312100,4
5466,0.138,0.768,1,-7.306,1,0.0534,0.00794,0.0,0.973,0.386,68.693,239267,4
5467,0.459,0.958,6,-2.333,1,0.0877,0.0283,0.0,0.108,0.586,142.707,211333,4
5468,0.401,0.496,7,-6.427,1,0.0381,0.568,0.000333,0.115,0.119,76.404,169933,4
5469,0.552,0.932,0,-3.782,1,0.0426,0.000102,0.0,0.119,0.518,103.108,227200,4
5470,0.259,0.953,11,-7.843,0,0.335,0.0815,0.0,0.759,0.434,158.093,284120,4
5471,0.654,0.503,2,-7.119,1,0.0409,0.665,0.00138,0.116,0.6,110.276,101187,4
5472,0.592,0.482,7,-6.666,1,0.0269,0.479,0.0,0.125,0.0812,120.325,269973,4
